DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
2024-05-17 16:50:00,7.0,1.2916666666666667,1006.3833333333333,27.263333333333332,60.39166666666667,3498.193333333333,2.0683333333333334
2024-05-18 07:00:00,7.0,0.0,1006.267,25.214,72.29499999999999,20937.584,78.76599999999999
2024-05-18 07:10:00,7.0,0.0,1006.406,25.669999999999998,70.05499999999999,21539.666999999998,81.49199999999999
2024-05-18 07:20:00,7.0,0.0,1006.558,26.439,67.30199999999999,29913.916999999998,146.541
2024-05-18 07:30:00,7.0,0.0,1006.6600000000001,27.395,63.438,30050.083000000002,144.977
2024-05-18 07:40:00,7.0,0.0,1006.72,28.238999999999997,60.126,32868.915,172.575
2024-05-18 07:50:00,7.0,0.0,1006.854,28.568,58.536,31069.083000000002,152.45499999999998
2024-05-18 08:00:00,7.0,0.0,1006.881,28.73,56.879999999999995,32947.832,172.345
2024-05-18 08:10:00,7.0,0.0,1006.89,30.118000000000002,53.559000000000005,52376.161,457.73
2024-05-18 08:20:00,7.0,0.0,1006.816,32.311,46.747,41194.487,288.584
2024-05-18 08:30:00,7.0,0.0,1006.725,31.781,46.954,44737.319,341.70799999999997
2024-05-18 08:40:00,7.0,0.0,1006.6610000000001,32.12,46.522000000000006,42947.382,298.15500000000003
2024-05-18 08:50:00,7.0,0.0,1006.5880000000001,32.413,45.069,32644.014000000003,177.43900000000002
2024-05-18 09:00:00,7.0,0.0,1006.479,31.121,48.463,26856.416000000005,117.26500000000001
2024-05-18 09:10:00,7.0,0.0,1006.4470000000001,34.087,41.870999999999995,83458.911,1138.769
2024-05-18 09:20:00,7.0,0.0,1006.409,36.582,34.077,64541.591,643.263
2024-05-18 09:30:00,7.0,0.0,1006.4200000000001,39.67100000000001,28.968,98440.176,1504.711
2024-05-18 09:40:00,7.0,0.0,1006.378,42.536,23.788999999999998,85159.653,1118.2289999999998
2024-05-18 09:50:00,7.0,0.0,1006.3129999999999,41.295,24.384999999999998,71783.537,823.711
2024-05-18 10:00:00,7.0,0.0,1006.208,43.935,21.231,113221.98899999999,1918.0819999999999
2024-05-18 10:10:00,7.0,0.0,1006.134,45.704,18.012,84321.769,1165.81
2024-05-18 10:20:00,7.0,0.0,1006.015,44.536,19.003999999999998,89368.295,1272.592
2024-05-18 10:30:00,7.0,0.0,1005.8370000000001,45.086,18.363,104232.223,1543.794
2024-05-18 10:40:00,7.0,0.0,1005.817,47.65,15.959,115306.903,2035.7669999999998
2024-05-18 10:50:00,7.0,0.0,1005.595,48.122,15.065999999999999,101066.849,1496.608
2024-05-18 11:00:00,7.0,0.0,1005.4290000000001,48.684000000000005,14.716,113523.324,1899.85
2024-05-18 11:10:00,7.0,0.0,1005.219,47.031,16.381,94844.63,1307.533
2024-05-18 11:20:00,7.0,0.0,1005.019,44.733999999999995,18.66,81903.715,1057.934
2024-05-18 11:30:00,7.0,0.0,1004.811,42.805,20.878,96700.624,1422.386
2024-05-18 11:40:00,7.0,0.0,1004.625,44.385000000000005,19.009999999999998,109423.21399999999,1657.484
2024-05-18 11:50:00,7.0,0.0,1004.4979999999999,44.426,19.008000000000003,89871.6,1141.34
2024-05-18 12:00:00,7.0,0.0,1004.434,43.083,20.669999999999998,113009.058,1840.5970000000002
2024-05-18 12:10:00,7.0,0.0,1004.3120000000001,44.652,18.915,117665.66,2026.4059999999997
2024-05-18 12:20:00,7.0,0.0,1004.0540000000001,42.038,22.113999999999997,103097.856,1537.703
2024-05-18 12:30:00,7.0,0.0,1003.932,41.037,23.907,73418.155,851.0379999999999
2024-05-18 12:40:00,7.0,0.0,1003.8149999999999,39.090999999999994,27.360000000000003,62834.02099999999,644.0840000000001
2024-05-18 12:50:00,7.0,0.0,1003.771,39.496,27.025,57111.871999999996,527.217
2024-05-18 13:00:00,7.0,0.0,1003.711,37.298,30.927,48603.31,370.632
2024-05-18 13:10:00,7.0,0.0,1003.5960000000001,36.769999999999996,32.44,50689.123,407.41999999999996
2024-05-18 13:20:00,7.0,0.0,1003.485,35.711,35.327,39892.921,254.218
2024-05-18 13:30:00,7.0,0.0,1003.436,34.673,37.789,29774.333999999995,141.801
2024-05-18 13:40:00,7.0,0.0,1003.3709999999999,33.765,40.759,25697.167999999998,105.649
2024-05-18 13:50:00,7.0,0.0,1003.327,32.491,44.294,15729.5,40.015
2024-05-18 14:00:00,7.0,0.0,1003.26,31.057,50.332,13886.751,31.512999999999998
2024-05-18 14:10:00,7.0,0.0,1003.3100000000001,30.656,54.056999999999995,18938.75,57.76800000000001
2024-05-18 14:20:00,7.0,0.0,1003.342,29.5,63.4,21450.584,75.732
2024-05-18 14:30:00,7.0,0.0,1003.2729999999999,29.24,63.077999999999996,25004.833000000002,104.628
2024-05-18 14:40:00,7.0,0.0,1003.24,30.506999999999998,56.838,33936.998,182.01500000000001
2024-05-18 14:50:00,7.0,0.0,1003.1690000000001,31.282,52.511,33875.33,180.803
2024-05-18 15:00:00,7.0,0.0,1003.068,31.948,49.67,31125.083999999995,155.03
2024-05-18 15:10:00,7.0,0.0,1003.0219999999999,32.342,48.416,28760.335,133.001
